 Iter     h_norm         step size         Cost         New_Cost       r_norm     r_new_norm      T_time        Status
  180      0.0027103              1   0.000521793    0.000514481    0.0027103       0.00268508   T=3.79237s   ACCEPTED
  181     0.00268508              1   0.000514481    0.000507305   0.00268508       0.00266014   T=3.75666s   ACCEPTED
  182     0.00266014              1   0.000507305    0.000500261   0.00266014       0.00263547   T=3.78729s   ACCEPTED
  183     0.00263547              1   0.000500261    0.000493348   0.00263547       0.00261107   T=3.81488s   ACCEPTED
  184     0.00261107              1   0.000493348    0.000486562   0.00261107       0.00258695   T=3.73773s   ACCEPTED
  185     0.00258695              1   0.000486562      0.0004799   0.00258695       0.00256309   T=3.79976s   ACCEPTED
  186     0.00256309              1    0.0004799    0.000473361   0.00256309       0.00253949   T=3.58288s   ACCEPTED
  187     0.00253949              1   0.000473361    0.000466942   0.00253949       0.00251615   T=3.72695s   ACCEPTED
  188     0.00251615              1   0.000466942     0.00046064   0.00251615       0.00249307   T=3.59471s   ACCEPTED
  189     0.00249307              1   0.00046064    0.000454453   0.00249307       0.00247025   T=3.46488s   ACCEPTED
  190     0.00247025              1   0.000454453    0.000448379   0.00247025       0.00244767   T=3.7424s   ACCEPTED
  191     0.00244767              1   0.000448379    0.000442415   0.00244767       0.00242535   T=3.78202s   ACCEPTED
  192     0.00242535              1   0.000442415    0.000436559   0.00242535       0.00240327   T=3.88575s   ACCEPTED
  193     0.00240327              1   0.000436559     0.00043081   0.00240327       0.00238143   T=3.62618s   ACCEPTED
  194     0.00238143              1   0.00043081    0.000425164   0.00238143       0.00235984   T=3.69119s   ACCEPTED
  195     0.00235984              1   0.000425164    0.000419621   0.00235984       0.00233848   T=3.72536s   ACCEPTED
  196     0.00233848              1   0.000419621    0.000414177   0.00233848       0.00231736   T=3.73984s   ACCEPTED
  197     0.00231736              1   0.000414177    0.000408831   0.00231736       0.00229647   T=3.816s   ACCEPTED
  198     0.00229647              1   0.000408831    0.000403581   0.00229647       0.00227581   T=3.79284s   ACCEPTED
  199     0.00227581              1   0.000403581    0.000398425   0.00227581       0.00225538   T=3.78952s   ACCEPTED
  200     0.00225538              1   0.000398425    0.000393361   0.00225538       0.00223517   T=3.90559s   ACCEPTED
  201     0.00223517              1   0.000393361    0.000388387   0.00223517       0.00221518   T=3.79838s   ACCEPTED
  202     0.00221518              1   0.000388387    0.000383502   0.00221518       0.00219542   T=3.82347s   ACCEPTED
